variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
635600,1,,,
635601,1,,,
636930,1,,,
636931,1,,,
636932,0,,,
636933,0,,,
636934,0,,,
636935,0,,,
636936,1,,,
636937,1,,,
636938,0,,,
636939,1,,,
636940,1,,,
636941,0,,,
636942,0,,,
636943,0,,,
636944,0,,,
636945,1,,,
636946,1,,,
637325,1,,,
637326,1,,,
640843,1,,,
640844,1,,,
640845,1,,,
640846,1,,,
640847,1,,,
640848,1,,,
640849,1,,,
640850,1,,,
640851,1,,,
640852,1,,,
640853,1,,,
640854,1,,,
640855,1,,,
640856,1,,,
640857,1,,,
640858,1,,,
640859,0,,,
640860,0,,,
640862,0,,,
640863,0,,,
640864,0,,,
640865,0,,,
640867,0,,,
640868,0,,,
640869,0,,,
640870,0,,,
640871,0,,,
640872,0,,,
640874,0,,,
640875,0,,,
640876,0,,,
640877,0,,,
640880,0,,,
640881,0,,,
640883,0,,,
640885,0,,,
640886,0,,,
640887,0,,,
640888,0,,,
640889,0,,,
640891,0,,,
640895,0,,,
640896,0,,,
640897,1,,,
640898,1,,,
640899,1,,,
640900,1,,,
640901,1,,,
640902,1,,,
640903,1,,,
640905,1,,,
640906,1,,,
640907,1,,,
640908,1,,,
640909,1,,,
640911,0,,,
640912,0,,,
640913,0,,,
640914,0,,,
640915,0,,,
640917,0,,,
640918,0,,,
640919,0,,,
640921,0,,,
640926,0,,,
640927,0,,,
640929,0,,,
640930,0,,,
640931,0,,,
640933,0,,,
640934,0,,,
640935,0,,,
640936,0,,,
640938,0,,,
640939,0,,,
640940,0,,,
640942,0,,,
640943,0,,,
640945,0,,,
642903,1,,,
642904,1,,,
642905,1,,,
642906,1,,,
642907,1,,,
642908,1,,,
642909,1,,,
642910,1,,,
642911,1,,,
642912,1,,,
642913,1,,,
642914,1,,,
642915,1,,,
642916,1,,,
642917,1,,,
642918,1,,,
642919,1,,,
642920,1,,,
642921,1,,,
642922,1,,,
642923,1,,,
642924,1,,,
642925,1,,,
642926,1,,,
642927,1,,,
642928,1,,,
642929,1,,,
642930,1,,,
642931,1,,,
642932,1,,,
642933,1,,,
642934,1,,,
642935,1,,,
642936,1,,,
642937,1,,,
642938,1,,,
642939,1,,,
642940,1,,,
642941,1,,,
642942,1,,,
642943,1,,,
642944,1,,,
642947,0,,,
642950,0,,,
642951,0,642903,3523,
642952,0,642903,,1869
642953,0,,,
642954,0,,,
642959,0,,,
642961,0,642904,1414,
642963,0,642905,1479,
642966,0,,,
642968,0,642904,,1478
642970,0,,,
642971,0,,,
642972,0,642905,,
642973,0,,,
642974,0,642905,,
642975,0,,,
642976,0,642907,,1594
642978,0,,,
642980,0,642907,1479,
642981,0,642906,,
642984,0,,,
642986,0,642906,,1478
642987,0,,,
642989,0,642907,,1442
642990,0,,,
642993,0,,,
642994,0,642909,,1454
642995,0,,,
642997,0,642909,1418,
642998,0,642908,1636,
643000,0,,,
643002,0,642908,,1527
643003,0,642909,1528,
643005,0,642908,1581,
643007,0,642909,1528,
643008,0,642909,,1637
643009,0,,,
643010,0,642908,,1527
643012,0,,,
643013,0,,,
643016,0,642911,,1527
643017,0,642910,1528,
643018,0,,,
643019,0,,,
643021,0,642910,1528,
643025,0,642913,1564,
643026,0,642912,,1709
643027,0,642912,1496,
643028,0,642913,2033,
643032,0,,,
643033,0,642913,,1497
643036,0,642914,2033,
643038,0,642915,,1343
643039,0,642915,,1709
643040,0,642914,,1344
643041,0,642914,1619,
643042,0,642915,1660,
643045,0,,,
643047,0,642916,1470,
643048,0,,,
643049,0,642917,2959,
643050,0,642917,1609,
643052,0,642916,,1610
643056,0,,,
643059,0,642918,1636,
643061,0,642919,1609,
643064,0,642918,,1610
643065,0,642919,,1637
643066,0,642918,,1420
643067,0,642919,,1637
643068,0,642918,1636,
643071,0,642920,,1527
643072,0,642920,1623,
643073,0,642921,1680,
643075,0,642921,1528,
643076,0,642921,,1396
643077,0,642922,1680,
643080,0,,,
643081,0,,,
643082,0,642922,,1680
643083,0,642923,1868,
643089,0,642924,,2818
643091,0,642925,,2817
643093,0,642924,1564,
643094,0,642924,1633,
643095,0,642924,,1442
643097,0,642925,1614,
643099,0,,,
643102,0,642925,1414,
643106,0,642925,,1580
643107,0,,,
643112,0,642926,,1396
643113,0,,,
643117,0,,,
643118,0,,,
643120,0,,,
643122,0,642928,1411,
643123,0,642927,3523,
643124,0,642927,1409,
643128,0,642928,,2820
643129,0,642927,,1412
643131,0,,,
643132,0,,,
643133,0,642930,,1637
643134,0,,,
643135,0,,,
643136,0,642929,,1420
643137,0,642929,,1420
643138,0,642929,,1420
643139,0,642930,,1637
643140,0,642930,1419,
643141,0,642930,1419,
643142,0,642929,1636,
643143,0,,,
643144,0,642929,1636,
643145,0,,,
643146,0,642930,1419,
643148,0,,,
643149,0,642931,1581,
643150,0,642932,,1547
643152,0,,,
643155,0,642931,1636,
643156,0,642931,1548,
643158,0,642931,1548,
643159,0,642931,1636,
643160,0,642932,1419,
643162,0,642931,,1420
643163,0,642933,,2819
643164,0,642934,,3521
643165,0,642934,1411,
643167,0,642933,,1412
643168,0,642934,,1420
643169,0,642934,,2820
643170,0,642933,2959,
643171,0,642935,,1542
643172,0,642936,1430,
643173,0,642935,,1412
643174,0,642936,1411,
643176,0,642935,1482,
643177,0,642936,,1483
643178,0,,,
643179,0,642936,,1410
643180,0,,,
643181,0,,,
643183,0,642938,,3545
643184,0,642937,1457,
643185,0,642938,1623,
643186,0,,,
643187,0,,,
643190,0,642937,,1396
643191,0,642938,,1454
643192,0,642940,1541,
643193,0,642939,,2819
643195,0,642940,,2820
643196,0,642939,1397,
643198,0,642942,,2820
643199,0,642941,,2819
643200,0,642941,1397,
643201,0,642942,1541,
643202,0,642943,,1343
643204,0,,,
643205,0,642943,,1478
643207,0,,,
643208,0,642944,1619,
643209,0,642944,1479,
643210,0,,,
643211,0,642943,1660,
643214,0,642944,,1344
643216,1,,,
643217,1,,,
643218,1,,,
643219,1,,,
643220,1,,,
643221,1,,,
643222,1,,,
643223,1,,,
643224,1,,,
643225,1,,,
643226,1,,,
643227,1,,,
643228,1,,,
643229,1,,,
643230,1,,,
643231,1,,,
643232,1,,,
643233,1,,,
643234,1,,,
643235,1,,,
643236,1,,,
643237,1,,,
643238,1,,,
643239,1,,,
643240,1,,,
643241,1,,,
643242,1,,,
643243,1,,,
643244,1,,,
643245,1,,,
643246,1,,,
643247,1,,,
643248,1,,,
643249,1,,,
643250,1,,,
643251,1,,,
643252,1,,,
643253,1,,,
643254,1,,,
643255,1,,,
643256,1,,,
643257,1,,,
643263,0,,,
643265,0,642903,,1869
643266,0,,,
643274,0,642904,1414,
643276,0,642905,1479,
643279,0,,,
643281,0,642904,,1478
643283,0,,,
